Date,WTI,Brent
2020-07-01,39.81999969482422,42.029998779296875
2020-07-02,40.650001525878906,43.13999938964844
2020-07-06,40.630001068115234,43.099998474121094
2020-07-07,40.619998931884766,43.08000183105469
2020-07-08,40.900001525878906,43.290000915527344
2020-07-09,39.619998931884766,42.349998474121094
2020-07-10,40.54999923706055,43.2400016784668
2020-07-13,40.099998474121094,42.720001220703125
2020-07-14,40.290000915527344,42.900001525878906
2020-07-15,41.20000076293945,43.790000915527344
2020-07-16,40.75,43.369998931884766
2020-07-17,40.59000015258789,43.13999938964844
2020-07-20,40.810001373291016,43.279998779296875
2020-07-21,41.959999084472656,44.31999969482422
2020-07-22,41.900001525878906,44.290000915527344
2020-07-23,41.06999969482422,43.310001373291016
2020-07-24,41.290000915527344,43.34000015258789
2020-07-27,41.599998474121094,43.40999984741211
2020-07-28,41.040000915527344,43.220001220703125
2020-07-29,41.27000045776367,43.75
2020-07-30,39.91999816894531,42.939998626708984
2020-07-31,40.27000045776367,43.29999923706055
2020-08-03,41.0099983215332,44.150001525878906
2020-08-04,41.70000076293945,44.43000030517578
2020-08-05,42.189998626708984,45.16999816894531
2020-08-06,41.95000076293945,45.09000015258789
2020-08-07,41.220001220703125,44.400001525878906
2020-08-10,41.939998626708984,44.9900016784668
2020-08-11,41.61000061035156,44.5
2020-08-12,42.66999816894531,45.43000030517578
2020-08-13,42.2400016784668,44.959999084472656
2020-08-14,42.0099983215332,44.79999923706055
2020-08-17,42.88999938964844,45.369998931884766
2020-08-18,42.88999938964844,45.459999084472656
2020-08-19,42.93000030517578,45.369998931884766
2020-08-20,42.58000183105469,44.900001525878906
2020-08-21,42.34000015258789,44.349998474121094
2020-08-24,42.619998931884766,45.130001068115234
2020-08-25,43.349998474121094,45.86000061035156
2020-08-26,43.38999938964844,45.63999938964844
2020-08-27,43.040000915527344,45.09000015258789
2020-08-28,42.970001220703125,45.04999923706055
2020-08-31,42.61000061035156,45.279998779296875
2020-09-01,42.7599983215332,45.58000183105469
2020-09-02,41.5099983215332,44.43000030517578
2020-09-03,41.369998931884766,44.06999969482422
2020-09-04,39.77000045776367,42.65999984741211
2020-09-08,36.7599983215332,39.779998779296875
2020-09-09,38.04999923706055,40.790000915527344
2020-09-10,37.29999923706055,40.060001373291016
2020-09-11,37.33000183105469,39.83000183105469
2020-09-14,37.2599983215332,39.61000061035156
2020-09-15,38.279998779296875,40.529998779296875
2020-09-16,40.15999984741211,42.220001220703125
2020-09-17,40.970001220703125,43.29999923706055
2020-09-18,41.11000061035156,43.150001525878906
2020-09-21,39.310001373291016,41.439998626708984
2020-09-22,39.599998474121094,41.720001220703125
2020-09-23,39.93000030517578,41.77000045776367
2020-09-24,40.310001373291016,41.939998626708984
2020-09-25,40.25,41.91999816894531
2020-09-28,40.599998474121094,42.43000030517578
2020-09-29,39.290000915527344,41.029998779296875
2020-09-30,40.220001220703125,40.95000076293945
2020-10-01,38.720001220703125,40.93000030517578
2020-10-02,37.04999923706055,39.27000045776367
2020-10-05,39.220001220703125,41.290000915527344
2020-10-06,40.66999816894531,42.650001525878906
2020-10-07,39.95000076293945,41.9900016784668
2020-10-08,41.189998626708984,43.34000015258789
2020-10-09,40.599998474121094,42.849998474121094
2020-10-12,39.43000030517578,41.720001220703125
2020-10-13,40.20000076293945,42.45000076293945
2020-10-14,41.040000915527344,43.31999969482422
2020-10-15,40.959999084472656,43.15999984741211
2020-10-16,40.880001068115234,42.93000030517578
2020-10-19,40.83000183105469,42.619998931884766
2020-10-20,41.459999084472656,43.15999984741211
2020-10-21,40.029998779296875,41.72999954223633
2020-10-22,40.63999938964844,42.459999084472656
2020-10-23,39.849998474121094,41.77000045776367
2020-10-26,38.560001373291016,40.459999084472656
2020-10-27,39.56999969482422,41.20000076293945
2020-10-28,37.38999938964844,39.119998931884766
2020-10-29,36.16999816894531,37.650001525878906
2020-10-30,35.790000915527344,37.459999084472656
2020-11-02,36.810001373291016,38.970001220703125
2020-11-03,37.65999984741211,39.709999084472656
2020-11-04,39.150001525878906,41.22999954223633
2020-11-05,38.790000915527344,40.93000030517578
2020-11-06,37.13999938964844,39.45000076293945
2020-11-09,40.290000915527344,42.400001525878906
2020-11-10,41.36000061035156,43.61000061035156
2020-11-11,41.45000076293945,43.79999923706055
2020-11-12,41.119998931884766,43.529998779296875
2020-11-13,40.130001068115234,42.779998779296875
2020-11-16,41.34000015258789,43.81999969482422
2020-11-17,41.43000030517578,43.75
2020-11-18,41.81999969482422,44.34000015258789
2020-11-19,41.7400016784668,44.20000076293945
2020-11-20,42.150001525878906,44.959999084472656
2020-11-23,43.060001373291016,46.060001373291016
2020-11-24,44.90999984741211,47.86000061035156
2020-11-25,45.709999084472656,48.61000061035156
2020-11-27,45.529998779296875,48.18000030517578
2020-11-30,45.34000015258789,47.59000015258789
2020-12-01,44.54999923706055,47.41999816894531
2020-12-02,45.279998779296875,48.25
2020-12-03,45.63999938964844,48.709999084472656
2020-12-04,46.2599983215332,49.25
2020-12-07,45.7599983215332,48.790000915527344
2020-12-08,45.599998474121094,48.84000015258789
2020-12-09,45.52000045776367,48.86000061035156
2020-12-10,46.779998779296875,50.25
2020-12-11,46.56999969482422,49.970001220703125
2020-12-14,46.9900016784668,50.290000915527344
2020-12-15,47.619998931884766,50.7599983215332
2020-12-16,47.81999969482422,51.08000183105469
2020-12-17,48.36000061035156,51.5
2020-12-18,49.099998474121094,52.2599983215332
2020-12-21,47.7400016784668,50.90999984741211
2020-12-22,47.02000045776367,50.08000183105469
2020-12-23,48.119998931884766,51.20000076293945
2020-12-24,48.22999954223633,51.290000915527344
2020-12-28,47.619998931884766,50.86000061035156
2020-12-29,48.0,51.09000015258789
2020-12-30,48.400001525878906,51.34000015258789
2020-12-31,48.52000045776367,51.79999923706055
2021-01-04,47.619998931884766,51.09000015258789
2021-01-05,49.93000030517578,53.599998474121094
2021-01-06,50.630001068115234,54.29999923706055
2021-01-07,50.83000183105469,54.380001068115234
2021-01-08,52.2400016784668,55.9900016784668
2021-01-11,52.25,55.65999984741211
2021-01-12,53.209999084472656,56.58000183105469
2021-01-13,52.90999984741211,56.060001373291016
2021-01-14,53.56999969482422,56.41999816894531
2021-01-15,52.36000061035156,55.099998474121094
2021-01-19,52.97999954223633,55.900001525878906
2021-01-20,53.2400016784668,56.08000183105469
2021-01-21,53.130001068115234,56.099998474121094
2021-01-22,52.27000045776367,55.40999984741211
2021-01-25,52.77000045776367,55.880001068115234
2021-01-26,52.61000061035156,55.90999984741211
2021-01-27,52.849998474121094,55.810001373291016
2021-01-28,52.34000015258789,55.529998779296875
2021-01-29,52.20000076293945,55.880001068115234
2021-02-01,53.54999923706055,56.349998474121094
2021-02-02,54.7599983215332,57.459999084472656
2021-02-03,55.689998626708984,58.459999084472656
2021-02-04,56.22999954223633,58.84000015258789
2021-02-05,56.849998474121094,59.34000015258789
2021-02-08,57.970001220703125,60.560001373291016
2021-02-09,58.36000061035156,61.09000015258789
2021-02-10,58.68000030517578,61.470001220703125
2021-02-11,58.2400016784668,61.13999938964844
2021-02-12,59.470001220703125,62.43000030517578
2021-02-16,60.04999923706055,63.349998474121094
2021-02-17,61.13999938964844,64.33999633789062
2021-02-18,60.52000045776367,63.93000030517578
2021-02-19,59.2400016784668,62.90999984741211
2021-02-22,61.4900016784668,65.23999786376953
2021-02-23,61.66999816894531,65.37000274658203
2021-02-24,63.220001220703125,67.04000091552734
2021-02-25,63.529998779296875,66.87999725341797
2021-02-26,61.5,66.12999725341797
2021-03-01,60.63999938964844,63.689998626708984
2021-03-02,59.75,62.70000076293945
2021-03-03,61.279998779296875,64.06999969482422
2021-03-04,63.83000183105469,66.73999786376953
2021-03-05,66.08999633789062,69.36000061035156
2021-03-08,65.05000305175781,68.23999786376953
2021-03-09,64.01000213623047,67.5199966430664
2021-03-10,64.44000244140625,67.9000015258789
2021-03-11,66.0199966430664,69.62999725341797
2021-03-12,65.61000061035156,69.22000122070312
2021-03-15,65.38999938964844,68.87999725341797
2021-03-16,64.80000305175781,68.38999938964844
2021-03-17,64.5999984741211,68.0
2021-03-18,60.0,63.279998779296875
2021-03-19,61.41999816894531,64.52999877929688
2021-03-22,61.54999923706055,64.62000274658203
2021-03-23,57.7599983215332,60.790000915527344
2021-03-24,61.18000030517578,64.41000366210938
2021-03-25,58.560001373291016,61.95000076293945
2021-03-26,60.970001220703125,64.56999969482422
2021-03-29,61.560001373291016,64.9800033569336
2021-03-30,60.54999923706055,64.13999938964844
2021-03-31,59.15999984741211,63.540000915527344
2021-04-01,61.45000076293945,64.86000061035156
2021-04-05,58.650001525878906,62.150001525878906
2021-04-06,59.33000183105469,62.7400016784668
2021-04-07,59.77000045776367,63.15999984741211
2021-04-08,59.599998474121094,63.20000076293945
2021-04-09,59.31999969482422,62.95000076293945
2021-04-12,59.70000076293945,63.279998779296875
2021-04-13,60.18000030517578,63.66999816894531
2021-04-14,63.150001525878906,66.58000183105469
2021-04-15,63.459999084472656,66.94000244140625
2021-04-16,63.130001068115234,66.7699966430664
2021-04-19,63.380001068115234,67.05000305175781
2021-04-20,62.439998626708984,66.56999969482422
2021-04-21,61.349998474121094,65.31999969482422
2021-04-22,61.43000030517578,65.4000015258789
2021-04-23,62.13999938964844,66.11000061035156
2021-04-26,61.90999984741211,65.6500015258789
2021-04-27,62.939998626708984,66.41999816894531
2021-04-28,63.86000061035156,67.2699966430664
2021-04-29,65.01000213623047,68.55999755859375
2021-04-30,63.58000183105469,67.25
2021-05-03,64.48999786376953,67.55999755859375
2021-05-04,65.69000244140625,68.87999725341797
2021-05-05,65.62999725341797,68.95999908447266
2021-05-06,64.70999908447266,68.08999633789062
2021-05-07,64.9000015258789,68.27999877929688
2021-05-10,64.91999816894531,68.31999969482422
2021-05-11,65.27999877929688,68.55000305175781
